x,y,z
-148,174,-18.26
-148,173,-17.625
-148,172,-16.973
-148,171,-16.312
-148,170,-15.652
-148,169,-15
-148,168,-15
-148,167,-14.792
-148,166,-13.554
-148,165,-12.306
-148,164,-10.918
-148,163,-9.6501
-148,162,-8.6192
-148,161,-7.662
-148,160,-6.8588
-148,159,-6.0555
-148,158,-5.2523
-148,157,-4.8798
-148,156,-4.7072
-148,155,-4.5509
-148,154,-4.3947
-148,153,-4.2384
-148,152,-4.0822
-148,151,-4.0001
-148,150,-4.0001
-148,149,-4.0001
-148,148,-4.0001
-148,147,-4.0001
-148,146,-4.0001
-148,145,-4.0001
-148,144,-4.0001
-148,143,-4.0001
-148,142,-4.0001
-148,141,-4.0001
-148,140,-4.0001
-148,139,-3.9671
-148,138,-3.9109
-148,137,-3.8653
-148,136,-3.8653
-148,135,-3.8653
-148,134,-3.8653
-148,133,-3.8653
-148,132,-3.8653
-148,131,-3.7829
-148,130,-3.6865
-148,129,-3.59
-148,128,-3.4935
-148,127,-3.4111
-148,126,-3.3359
-148,125,-3.2607
-148,124,-3.0359
-148,123,-3.1318
-148,122,-3.1318
-148,121,-3.1318
-148,120,-3.1318
-148,119,-3.1318
-148,118,-3.1318
-148,117,-3.1318
-148,116,-3.1318
-148,115,-3.1318
-148,114,-3.1318
-148,113,-3.1318
-148,112,-3.1318
-148,111,-3.1318
-148,110,-3.1318
-148,109,-3.1318
-148,108,-3.1318
-148,107,-3.1318
-148,106,-3.1318
-148,105,-3.1318
-148,104,-3.1318
-148,103,-3.1318
-148,102,-3.1318
-148,101,-3.1318
-148,100,-3.1318
-148,99,-3.1318
-148,98,-3.1318
-148,97,-3.1318
-148,96,-3.1318
-148,95,-3.1318
-148,94,-3.1318
-148,93,-3.1318
-148,92,-3.1318
-148,91,-3.1318
-148,90,-3.1318
-148,89,-3.1318
-148,88,-3.1318
-148,87,-3.1318
-148,86,-3.1318
-148,85,-3.1214
-148,84,-3.0902
-148,83,-3.0589
-148,82,-3.0277
-148,81,-2.9965
-148,80,-2.9652
-148,79,-2.934
-148,78,-2.9028
-148,77,-2.8716
-148,76,-2.8403
-148,75,-2.8091
-148,74,-2.7779
-148,73,-2.7466
-148,72,-2.7154
-148,71,-2.6842
-148,70,-2.653
-148,69,-2.6217
-148,68,-2.5905
-148,67,-2.5593
-148,66,-2.528
-148,65,-2.4968
-148,64,-2.4656
-148,63,-2.4344
-148,62,-2.4031
-148,61,-2.3719
-148,60,-2.3407
-148,59,-2.3094
-148,58,-2.2782
-148,57,-2.247
-148,56,-2.2158
-148,55,-2.1845
-148,54,-2.1533
-148,53,-2.1221
-148,52,-2.0908
-148,51,-2.0596
-148,50,-2.0284
-148,49,-2.0001
-148,48,-2.0001
-148,47,-2.0001
-148,46,-2.0001
-148,45,-2.0001
-148,44,-2.0001
-148,43,-2.0001
-148,42,-0.20153
-148,41,2.3408
-148,40,2.9999
-148,39,2.9999
-148,38,2.9999
-148,37,2.9999
-148,36,2.9999
-148,35,2.9999
-148,34,2.9999
-148,33,2.9999
-148,32,2.9999
-148,31,2.9999
-148,30,2.9999
-148,29,2.9999
-148,28,2.9999
-148,27,2.9999
-148,26,2.9999
-148,25,2.9999
-148,24,2.9999
-148,23,2.9999
-148,22,2.9999
-148,21,2.9999
-148,20,2.9999
-148,19,2.9999
-148,18,2.9999
-148,17,2.9999
-148,16,2.9999
-148,15,2.9999
-148,14,2.9999
-148,13,2.9999
-148,12,2.9999
-148,11,2.1725
-148,10,0.61588
-148,9,-0.73027
-148,8,-2.0001
-148,7,-2.0001
-148,6,-2.0001
-148,5,-2.0001
-148,4,-2.0001
-148,3,-2.0001
-148,2,-2.0001
-148,1,-2.0001
-148,0,-2.0001
-147,200,-29.092
-147,199,-28.739
-147,198,-28.397
-147,197,-28.057
-147,196,-27.718
-147,195,-27.379
-147,194,-27.04
-147,193,-26.7
-147,192,-26.355
-147,191,-25.948
-147,190,-25.54
-147,189,-25.133
-147,188,-24.737
-147,187,-24.346
-147,186,-23.956
-147,185,-23.565
-147,184,-23.174
-147,183,-22.784
-147,182,-22.393
-147,181,-22.003
-147,180,-21.568
-147,179,-21.098
-147,178,-20.629
-147,177,-20.159
-147,176,-19.58
-147,175,-18.945
-147,174,-18.311
-147,173,-17.652
-147,172,-16.992
-147,171,-16.331
-147,170,-15.671
-147,169,-15.01
-147,168,-15
-147,167,-15
-147,166,-14.371
